*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code
-45	900	-6	-9	-14	-22	-29	-28	-26	-23		C2P-045
-50	1150	-7	-10	-14	-24	-30	-29	-27	-22		C2P-050
-56	1150	-7	-10	-14	-24	-30	-29	-27	-22		C2P-056
-63	1150	-7	-11	-16	-28	-33	-32	-29	-20		C2P-063
-71	1500	-8	-11	-16	-28	-34	-31	-28	-20		C2P-071
-80	1500	-8	-11	-16	-28	-34	-31	-28	-20		C2P-080
-90	1800	-8	-11	-18	-27	-28	-27	-23	-19		C2P-090
-100	1800	-8	-11	-19	-27	-29	-27	-23	-19		C2P-100
-125	2400	-8	-11	-19	-27	-28	-27	-22	-17		C2P-125
-140	2400	-9	-12	-20	-26	-28	-26	-19	-16		C2P-140
-160	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-160
-180	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-180
-200	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-200
*Circular Open 1D Qseal											
-031QS	300	-1	-2	-4	-7	-9	-7	-5	-5		C1-031QS
-035QS	300	-2	-2	-4	-7	-9	-7	-5	-5		C1-035QS
-040QS	600	-2	-2	-4	-7	-9	-7	-5	-5		C1-040QS
-045QS	600	-2	-2	-4	-8	-9	-7	-5	-5		C1-045QS
-050QS	600	-2	-2	-4	-8	-9	-7	-5	-5		C1-050QS
-056QS	600	-2	-3	-4	-8	-9	-7	-5	-5		C1-056QS
-063QS	600	-3	-3	-5	-10	-9	-6	-5	-5		C1-063QS
-071QS	900	-3	-3	-6	-11	-9	-6	-5	-5		C1-071QS
-080QS	900	-3	-3	-6	-11	-9	-6	-5	-5		C1-080QS
-090QS	1150	-3	-3	-7	-11	-9	-5	-5	-5		C1-090QS
-100QS	1150	-3	-3	-7	-11	-8	-5	-5	-4		C1-100QS
-125QS	1150	-3	-3	-7	-11	-8	-5	-4	-4		C1-125QS
-140QS	1150	-3	-4	-7	-10	-7	-5	-4	-4		C1-140QS
-153QS	1500	-4	-4	-8	-10	-7	-5	-4	-4		C1-153QS
-160QS	1800	-4	-4	-8	-10	-7	-5	-4	-4		C1-160QS
-180QS	1800	-4	-4	-8	-10	-7	-4	-4	-3		C1-180QS
-200QS	1800	-4	-4	-8	-10	-6	-4	-4	-3		C1-200QS
*Circular Open 2D QsealQS											
-031QS	600	-3	-5	-7	-13	-18	-13	-10	-9		C2-031QS
-035QS	600	-3	-5	-8	-13	-18	-13	-10	-9		C2-035QS
-040QS	900	-3	-5	-8	-13	-18	-14	-11	-9		C2-040QS
-045QS	900	-3	-5	-8	-14	-18	-14	-11	-9		C2-045QS
-050QS	1150	-3	-5	-8	-15	-18	-13	-11	-8		C2-050QS
-056QS	1150	-4	-5	-9	-15	-18	-13	-11	-8		C2-056QS
-063QS	1150	-4	-6	-9	-18	-19	-13	-11	-7		C2-063QS
-071QS	1500	-4	-6	-10	-18	-19	-13	-11	-7		C2-071QS
-080QS	1500	-4	-6	-10	-18	-19	-13	-11	-7		C2-080QS
-090QS	1800	-4	-6	-11	-18	-16	-10	-9	-7		C2-090QS
-100QS	1800	-5	-6	-11	-18	-16	-10	-9	-7		C2-100QS
-125QS	2400	-5	-6	-11	-18	-15	-10	-9	-8		C2-125QS
-140QS	2400	-6	-7	-12	-18	-15	-9	-8	-7		C2-140QS
-153QS	3000	-7	-7	-12	-17	-14	-9	-6	-6		C2-153QS
-160QS	3600	-7	-7	-12	-17	-14	-9	-6	-6		C2-160QS
-180QS	3600	-7	-7	-12	-17	-14	-8	-6	-6		C2-180QS
-200QS	3600	-7	-7	-12	-17	-14	-8	-6	-6		C2-200QS
*Circular Pod 1D QsealQS											
-031QS	300	-3	-5	-7	-11	-17	-15	-11	-10		C1P-031QS
-035QS	300	-3	-5	-7	-11	-17	-15	-11	-10		C1P-035QS
-040QS	600	-3	-5	-7	-12	-18	-15	-11	-9		C1P-040QS
-045QS	600	-3	-5	-7	-13	-18	-15	-11	-9		C1P-045QS
-050QS	600	-3	-5	-7	-13	-18	-15	-11	-8		C1P-050QS
-056QS	600	-3	-5	-7	-13	-18	-15	-11	-8		C1P-056QS
-063QS	600	-3	-5	-8	-15	-18	-15	-11	-8		C1P-063QS
-071QS	900	-4	-5	-8	-15	-18	-15	-11	-8		C1P-071QS
-080QS	900	-4	-5	-8	-15	-20	-13	-11	-8		C1P-080QS
-090QS	1150	-4	-5	-9	-17	-17	-13	-9	-8		C1P-090QS
-100QS	1150	-4	-5	-10	-17	-16	-11	-9	-7		C1P-100QS
-125QS	1150	-4	-5	-10	-17	-16	-11	-9	-7		C1P-125QS
-140QS	1150	-4	-5	-10	-16	-15	-11	-9	-6		C1P-140QS
-153QS	1500	-4	-5	-10	-15	-14	-10	-7	-6		C1P-153QS
-160QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-160QS
-180QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-180QS
-200QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-200QS
*Circular Pod 2D QsealQS											
-031QS	600	-5	-7	-11	-19	-25	-23	-17	-15		C2P-031QS
-035QS	600	-5	-7	-11	-19	-25	-23	-17	-15		C2P-035QS
-040QS	900	-5	-7	-11	-19	-26	-23	-18	-16		C2P-040QS
-045QS	900	-5	-7	-11	-19	-26	-23	-18	-16		C2P-045QS
-050QS	1150	-6	-8	-11	-21	-27	-24	-19	-15		C2P-050QS
-056QS	1150	-6	-8	-11	-21	-27	-24	-19	-15		C2P-056QS
-063QS	1150	-6	-9	-13	-25	-29	-26	-20	-14		C2P-063QS
-071QS	1500	-7	-9	-13	-25	-30	-26	-19	-14		C2P-071QS
-080QS	1500	-7	-9	-13	-25	-30	-26	-19	-14		C2P-080QS
-090QS	1800	-7	-9	-14	-24	-25	-22	-16	-13		C2P-090QS
-100QS	1800	-7	-9	-15	-24	-26	-22	-16	-13		C2P-100QS
-125QS	2400	-7	-9	-15	-24	-25	-22	-15	-12		C2P-125QS
-140QS	2400	-8	-10	-16	-23	-25	-21	-13	-11		C2P-140QS
-153QS	3000	-8	-11	-17	-23	-25	-21	-13	-11		C2P-153QS
-160QS	3600	-8	-11	-17	-23	-25	-21	-13	-11		C2P-160QS
-180QS	3600	-8	-11	-17	-23	-25	-21	-13	-11		C2P-180QS
-200QS	3600	-8	-11	-17	-23	-25	-21	-13	-11		C2P-200QS
